Street,Crashes,Injuries,Pedestrian Injuries,Source Dataset
Metropolitan Avenue,162,212,33,Motor Vehicle Collisions [h9gi-nx95]
Myrtle Avenue,146,175,43,Motor Vehicle Collisions [h9gi-nx95]
Woodhaven Boulevard,132,179,13,Motor Vehicle Collisions [h9gi-nx95]
Cypress Avenue,118,151,24,Motor Vehicle Collisions [h9gi-nx95]
Fresh Pond Road,117,145,32,Motor Vehicle Collisions [h9gi-nx95]
Grand Avenue,90,112,14,Motor Vehicle Collisions [h9gi-nx95]
Eliot Avenue,87,137,23,Motor Vehicle Collisions [h9gi-nx95]
69 Street,84,109,11,Motor Vehicle Collisions [h9gi-nx95]
80 Street,79,97,13,Motor Vehicle Collisions [h9gi-nx95]
Cooper Avenue,75,97,16,Motor Vehicle Collisions [h9gi-nx95]
